Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,"National currency per US$, period average.  Line rf of IFS.",,0.777225,0.836742,1.029658,1.096925,1.298358,1.902575,1.879158,1.678967,1.828583,2.014892,1.860467,2.021558,2.109733,2.423083,2.68465,2.7722,3.324192,3.650767,4.225883,4.6244,5.102242,5.841417,6.327792,4.949667,4.693833,5.11675,5.8303,6.139408,6.826858,7.155142,6.793625,6.838233,7.640525,8.398908,8.976083,10.128992,10.901158,10.347417,10.199975,10.755867,11.456242,11.087258
Brazil,"National currency per US$, period average.",,0,0,0,0,0,0,0,0,0,0.000001,0.000025,0.000148,0.001642,0.032158,0.639308,0.9176,1.005083,1.077992,1.160517,1.814733,1.830208,2.350442,2.92115,3.078283,2.925917,2.435192,2.176125,1.947858,1.834567,1.997583,1.760133,1.674967,1.954583,2.157633,2.353567,3.331533,3.490117,3.192008,3.65445,3.945083,5.155842,5.395025
Brunei,"National currency per US$, period average. ",,2.141208,2.112692,2.140025,2.11305,2.133083,2.20015,2.177417,2.105983,2.012425,1.950258,1.812533,1.72755,1.628967,1.615791,1.527444,1.417375,1.410041,1.484806,1.673602,1.694957,1.723963,1.791723,1.790588,1.742183,1.690228,1.664398,1.588933,1.507102,1.417167,1.45457,1.36351,1.257913,1.249568,1.251166,1.267043,1.374911,1.381349,1.380892,1.348918,1.364219,1.379705,1.342
Bulgaria,"National currency per US$, period average.",,–,–,–,–,–,0,0,0,0,0,0.002625,0.017791,0.02334,0.027594,0.054158,0.067171,0.177885,1.68187,1.76036,1.837673,2.123343,2.184715,2.07697,1.732621,1.575112,1.574148,1.559273,1.429038,1.337227,1.406696,1.477376,1.406452,1.52205,1.473554,1.47419,1.764408,1.76816,1.735464,1.65704,1.747034,1.716323,1.653772
Burkina Faso,"National currency per US$, period average. ",,211.279167,271.7325,328.608333,381.065833,436.9575,449.264167,346.306667,300.5375,297.85,319.009167,272.265833,282.108333,264.694167,283.1625,555.205833,499.15,511.551667,583.670833,589.9525,615.673333,711.831667,732.899167,696.381667,581.059167,528.123333,527.79,522.86,479.264167,448.215833,472.024167,495.310833,471.765833,510.514167,494.045833,494.414167,591.45,593.014167,582.03,555.7,585.959167,575.5875,554.530833
Burundi,"National currency per US$, period average. ",,90,90,90,92.948333,119.709167,120.69075,114.171083,123.563833,140.395,158.666667,171.255417,181.512583,208.302667,242.78,252.6625,249.7575,302.746667,352.350833,447.765833,563.5625,720.673333,830.353333,930.749167,1082.62,1100.9,1081.577167,1028.683583,1081.869667,1185.690833,1230.179167,1230.748333,1261.073333,1442.505667,1555.090833,1546.686667,1571.898333,1654.626667,1729.055,1782.876917,1845.623,1915.04625,1975.9
Cabo Verde,"National currency per US$, period average. ",,40.174917,48.694667,58.293333,71.685833,84.877917,91.631667,80.144917,72.465833,72.0675,77.978083,70.031333,71.408333,68.017583,80.4266,81.890833,76.853333,82.591467,93.176667,98.1575,102.7,115.87655,123.213333,117.255833,97.7875,88.747917,88.646167,87.926058,80.615017,75.336008,80.035425,83.278675,79.276892,86.31895,83.0725,83.0345,99.385692,99.688117,97.806942,93.413575,98.495183,96.795733,93.26
Cambodia,"National currency per US$, period average. ",,–,–,–,–,–,–,–,–,–,–,426.25,718.333333,1266.583333,2689,2545.25,2450.833333,2624.083333,2946.25,3744.416667,3807.833333,3840.75,3916.333333,3912.083333,3973.333333,4016.25,4092.5,4103.25,4056.166667,4054.166667,4139.333333,4184.916667,4058.5,4033,4027.25,4037.5,4067.75,4058.7,4050.6,4051.183333,4061.158333,4092.791667,4098.708333
Cameroon,"National currency per US$, period average.  Line rf of IFS.",Break in series: 1994.,211.279167,271.7325,328.608333,381.065833,436.9575,449.264167,346.306667,300.5375,297.85,319.009167,272.265833,282.108333,264.694167,283.1625,555.205833,499.15,511.551667,583.670833,589.9525,615.673333,711.831667,732.899167,696.381667,581.059167,528.123333,527.79,522.86,479.264167,448.215833,472.024167,495.310833,471.765833,510.514167,494.045833,494.414167,591.45,593.014167,582.03,555.7,585.959167,575.5875,554.5
Canada,"National currency per US$, period average.",,1.169408,1.198892,1.233858,1.232583,1.29515,1.3659,1.389767,1.326175,1.230942,1.184108,1.167017,1.145975,1.208808,1.290167,1.365892,1.37265,1.3637,1.384867,1.483633,1.485825,1.485517,1.549017,1.570592,1.401167,1.301575,1.211483,1.134375,1.074183,1.066767,1.141442,1.030125,0.989025,0.999408,1.029992,1.104683,1.278808,1.325583,1.297858,1.296058,1.326842,1.341358,1.253583
