Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,The consumer price index rebased to 2010=100 by the Economist Intelligence Unit,,36.039,41.172,46.144,49.017,51.222,53.334,55.669,58.205,60.651,63.83,67.035,71.029,72.104,73.449,73.549,75.159,76.347,77.577,78.343,79.71,81.892,83.945,85.855,88.209,89.833,91.837,93.69,95.686,97.968,98.261,100,102.89,104.464,105.43,107.455,108.657,110.217,111.984,114.495,116.735,117.593
Cayman Islands,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,67.459,69.178,71.1,73.224,78.18,80.303,81.214,83.236,83.692,87.434,93.805,94.513,97.269,101.264,99.747,100,101.393,102.588,104.821,106.119,103.652,102.951,105.002,108.508,114.635,115.8
Central African Republic,The consumer price index rebased to 2010=100 by the EIU,,–,36.774,41.663,47.751,48.965,54.069,55.283,51.42,49.382,49.722,49.716,48.343,47.843,46.448,57.861,68.964,71.533,72.686,71.315,70.307,72.559,75.342,77.098,80.286,78.627,80.894,86.285,87.114,95.179,98.531,100,101.194,106.738,114.198,131.212,133.053,139.633,145.47,147.816,151.785,155.282
Chad,The consumer price index rebased to 2010=100 by the EIU,,–,–,34.168,38.113,45.835,48.202,41.909,40.759,45.529,43.85,43.526,44.916,43.518,39.85,56.478,61.691,68.681,72.508,75.596,69.529,72.187,81.161,85.375,83.878,79.386,85.65,92.533,84.229,92.902,102.148,100,102.029,109.698,109.943,111.792,116.685,115.76,113.981,118.853,117.698,123
Chile,The consumer price index rebased to 2010=100 by the EIU,,4.666,5.585,6.14,7.814,9.365,12.241,14.625,17.533,20.107,23.531,29.658,36.118,41.69,46.996,52.374,56.686,60.857,64.59,67.891,70.156,72.853,75.453,77.331,79.504,80.343,82.795,85.604,89.377,97.168,98.61,100,103.341,106.448,108.357,113.467,118.401,122.885,125.567,128.479,131.375,135.376
China,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,22.501,24.646,26.04,27.929,33.197,39.242,40.437,41.882,44.558,51.071,63.459,74.094,80.242,82.481,81.843,80.699,80.985,81.559,80.959,81.873,85.008,86.518,87.945,92.182,97.629,96.917,100,105.53,108.283,111.067,113.344,115.093,117.531,119.32,121.621,125.151,128.263
Colombia,The consumer price index rebased to 2010=100 by the EIU,,1.124,1.433,1.787,2.137,2.484,3.081,3.66,4.514,5.784,7.281,9.402,12.254,15.567,19.06,23.416,28.308,34.195,40.513,48.078,53.306,58.224,62.86,66.851,71.615,75.843,79.67,83.094,87.701,93.838,97.782,100,103.416,106.694,108.847,112.005,117.591,126.426,131.882,136.156,140.949,144.509
Comoros,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,71.427,66.403,66.403,67.408,70.271,69.367,71.69,75.66,78.33,81.402,85.068,87.634,90.95,94.629,99.211,96.296,100,101.722,105.833,106.356,106.382,107.354,108.21,108.31,110.154,114.238,115.266
Congo (Brazzaville),The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,34.021,–,–,–,–,–,37.886,37.25,35.785,37.546,53.481,58.518,64.388,79.604,73.522,76.568,75.893,75.935,79.26,78.759,80.673,83.099,88.541,90.891,95.398,99.61,100,101.76,106.858,111.807,112.827,116.403,120.117,120.657,122.048,124.741,127.008
Congo (Democratic Republic),The consumer price index rebased to 2010=100 by the EIU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.013,0.096,0.223,0.288,1.107,6.799,31.27,41.127,46.422,48.276,58.567,66.211,77.431,90.828,120.471,100,115.317,125.193,126.205,127.773,128.724,132.439,176.086,227.618,238.326,265.395
