Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Peru,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,0,0,0.001,0.041,3.143,16.015,27.791,41.291,51.092,56.779,63.336,68.749,73.737,76.295,79.163,80.726,80.881,82.71,85.739,87.126,88.869,90.45,95.685,98.494,100,103.369,107.148,110.156,113.73,117.767,121.997,125.416,127.069,129.782,132.155
Philippines,The consumer price index rebased to 2010=100 by the EIU,,7.261,8.057,8.883,9.738,14.585,17.867,18.07,18.806,21.41,24.029,26.953,32.143,34.922,37.269,41.131,43.939,47.22,49.854,54.461,57.703,60,64.067,65.992,68.287,72.368,77.934,83.015,85.471,92.452,96.347,100,104.718,108.033,111.215,115.851,117.477,119.601,123.118,129.595,132.81,136.319
Poland,The consumer price index rebased to 2010=100 by the EIU,,–,0.049,0.076,0.095,0.107,0.122,0.143,0.181,0.29,1.02,7.017,12.308,17.85,24.424,32.557,41.704,49.972,57.498,64.212,68.902,75.887,80.014,81.58,82.192,85.079,86.978,87.947,90.119,93.978,97.464,100,104.184,107.999,108.984,108.966,108.001,107.401,109.56,111.387,113.903,117.809
Portugal,The consumer price index rebased to 2010=100 by the EIU,Harmonised and seasonally adjusted,10.223,12.274,15.078,18.846,24.263,29.044,32.466,35.487,38.934,43.844,49.706,55.39,60.313,63.875,67.053,69.708,71.746,73.102,74.728,76.354,78.499,81.957,84.99,87.739,89.945,91.865,94.665,96.959,99.528,98.632,100,103.543,106.41,106.876,106.711,107.257,107.943,109.626,110.914,111.25,111.117
Puerto Rico,The consumer price index rebased to 2010=100 by the EIU,,28.336,30.479,32.86,33.234,33.71,34.153,34.085,34.391,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,87.552,91.249,95.393,98.042,100,101.822,104.455,105.381,106.376,106.057,105.844,106.452,108.167,108.736,108.8
Qatar,The consumer price index rebased to 2010=100 by the EIU,Non-Seasonally Adjusted,32.743,35.57,37.575,38.603,39.014,39.785,40.402,41.481,43.435,44.823,46.21,48.215,49.706,49.295,49.911,51.402,55.206,56.748,58.239,59.472,60.5,61.323,61.94,63.366,67.647,73.612,82.337,93.541,107.763,102.498,100,101.924,103.82,107.039,110.589,113.885,116.544,116.85,116.982,115.941,112.947
Romania,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,0.034,0.077,0.239,0.852,2.02,2.671,3.705,9.444,15.04,21.94,31.97,42.985,52.656,60.75,67.951,74.064,78.945,82.762,89.255,94.239,100,105.795,109.328,113.703,114.926,114.241,112.464,113.976,119.254,123.816,127.092
Russia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,0.002,0.003,0.056,0.541,2.143,6.349,9.348,10.733,13.705,25.481,30.776,37.386,43.285,49.193,54.548,61.461,67.398,73.475,83.843,93.595,100,108.43,113.956,121.664,131.194,151.544,162.199,168.165,173.027,180.762,186.88
Rwanda,The consumer price index rebased to 2010=100 by the EIU,,8.051,8.571,9.648,10.284,10.836,11.027,10.903,11.354,11.692,11.81,12.305,14.721,16.128,18.121,18.713,36.049,38.721,43.373,46.067,44.958,46.711,48.273,49.235,52.903,59.384,64.736,70.487,76.888,88.758,100.247,100,103.08,113.668,120.402,123.236,126.352,135.417,146.629,146.173,151.067,165.947
Samoa,The consumer price index rebased to 2010=100 by the EIU,,13.945,16.805,19.879,23.152,25.897,28.252,29.871,31.236,33.893,36.083,41.582,40.825,44.512,45.276,50.745,49.272,51.92,55.483,56.714,56.864,57.414,59.618,64.417,64.492,75.012,76.405,79.232,83.651,93.326,99.229,100,105.235,107.392,108.047,107.607,108.387,109.801,111.722,116.412,117.556,115.711
Saudi Arabia,The consumer price index rebased to 2010=100 by the EIU,,80.507,82.521,83.127,83.591,82.759,79.805,76.832,74.115,75.775,76.693,75.883,78.827,78.017,78.985,80.062,84.174,84.401,84.193,83.838,82.058,81.208,80.299,80.388,80.773,81.01,81.475,83.026,87.157,92.492,96.434,100,103.744,106.718,110.485,112.955,114.318,116.683,115.705,118.549,116.067,120.066
Senegal,The consumer price index rebased to 2010=100 by the EIU,,41.38,43.827,51.442,57.418,64.185,72.529,77.014,73.825,72.477,72.801,73.038,71.757,71.678,71.258,94.269,101.67,104.483,79.899,80.831,81.475,82.084,84.539,86.506,86.472,86.907,88.387,90.267,95.569,101.071,98.799,100,103.421,104.875,105.615,104.466,104.605,105.484,107.844,108.322,109.437,112.196
Serbia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.557,19.795,38.573,46.093,50.648,56.236,65.301,72.957,77.576,87.312,94.428,100,111.638,119.882,129.019,131.792,133.744,135.353,139.63,142.443,145.015,147.266
Seychelles,The consumer price index rebased to 2010=100 by the EIU,,27.942,30.897,30.641,32.503,33.795,36.214,40.596,41.633,42.398,43.05,44.768,40.213,39.676,40.186,40.928,40.811,40.371,40.623,41.677,44.317,47.077,49.888,49.975,51.625,53.617,54.103,53.912,56.78,77.769,102.464,100,102.559,109.852,114.618,116.206,120.903,119.676,123.095,127.653,129.958,131.522
Sierra Leone,The consumer price index rebased to 2010=100 by the EIU,,0.017,0.02,0.026,0.044,0.073,0.128,0.2,0.6,0.9,1.4,2.9,6,9.9,12.1,15,18.9,23.3,26.8,36.3,48.7,48.3,49.3,47.6,51.3,58.5,65.6,71.853,80.224,86.806,93.289,100,106.788,113.824,120.105,125.684,134.097,148.691,175.783,203.966,234.159,265.646
Singapore,The consumer price index rebased to 2010=100 by the EIU,,57.565,62.279,64.72,65.391,67.093,67.423,66.492,66.814,67.831,69.387,71.781,74.25,75.916,77.656,80.059,81.44,82.563,84.234,84.005,84.025,85.158,86.022,85.685,86.102,87.541,87.952,88.799,90.668,96.677,97.254,100,105.248,110.064,112.659,113.814,113.22,112.617,113.266,113.763,114.406,114.198
Sint Maarten,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,91.978,96.189,96.901,100,104.579,108.801,111.544,113.665,114.025,114.152,116.67,119.816,120.328,121.725
Slovakia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,45.257,47.874,50.762,54.158,59.824,67.1,71.893,74.401,80.663,86.674,89.082,92.882,94.646,98.385,99.307,100,104.073,107.954,109.528,109.424,109.063,108.548,110.06,112.839,115.959,118.288
Slovenia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,24.6,32.4,39.2,44.5,48.9,53,57.2,60.7,66.2,71.7,77.05,81.423,84.395,86.478,88.685,92.018,97.111,97.952,100,102.082,104.944,106.965,107.361,106.556,106.396,108.054,110.143,112.004,111.698
Solomon Islands,The consumer price index rebased to 2010=100 by the EIU,,5.482,6.379,7.208,7.694,8.548,8.882,10.087,11.196,13.07,15.021,16.334,18.792,20.812,22.721,25.733,28.21,31.532,34.081,38.307,41.379,44.299,47.349,52.159,57.356,61.218,65.609,73.219,78.83,92.487,99.046,100,107.438,113.79,119.925,126.116,125.391,126.034,126.65,131.034,133.176,137.123
South Africa,The consumer price index rebased to 2010=100 by the EIU,Excluding interest rates on mortgage bonds. Metropolitan and other urban areas. Break in series: All items CPI Metropolitan area used prior to 1997.,6.498,7.495,8.59,9.649,10.759,12.516,14.843,17.242,19.445,22.316,25.51,29.421,33.504,36.755,40.047,43.518,46.725,50.739,54.232,57.047,60.095,63.517,69.343,73.276,72.765,74.264,76.676,81.415,89.596,96.067,100,105.015,111.049,117.46,124.655,130.275,138.863,146.053,152.631,158.923,164.049
South Korea,The consumer price index rebased to 2010=100 by the EIU,,24.276,29.452,31.568,32.648,33.394,34.217,35.159,36.233,38.823,41.036,44.554,48.712,51.736,54.221,57.619,60.201,63.164,65.964,70.916,71.491,73.107,76.082,78.187,80.934,83.838,86.146,88.078,90.315,94.537,97.146,100,104.025,106.295,107.678,109.05,109.82,110.886,113.043,114.713,115.154,115.774
Spain,The consumer price index rebased to 2010=100 by the EIU,,21.255,24.348,27.856,31.244,34.764,37.825,41.149,43.307,45.403,48.491,51.754,54.829,58.078,60.898,63.729,66.635,69.01,70.307,71.553,73.15,75.698,77.841,80.635,83.137,85.674,88.572,91.73,94.338,98.234,98.004,100,103.046,105.552,107.176,106.977,106.307,105.95,108.115,109.991,110.846,110.474
Sri Lanka,The consumer price index rebased to 2010=100 by the EIU,,4.545,5.362,5.943,6.773,7.899,8.016,8.656,9.324,10.628,11.858,14.407,16.162,18.002,20.117,21.816,23.491,27.234,29.84,32.636,34.167,36.277,41.414,45.369,48.234,52.566,58.358,64.169,74.352,90.997,94.158,100,106.732,114.804,122.717,126.108,128.929,134.07,142.893,148.995,155.407,162.489
St Kitts & Nevis,The consumer price index rebased to 2010=100 by the EIU,,37.258,41.162,43.601,44.601,45.811,47.011,47.008,47.461,47.571,50.031,52.037,54.287,55.839,56.841,57.661,59.366,60.605,66.002,68.277,70.573,72.089,73.75,75.255,76.937,78.718,81.401,88.309,92.266,97.157,99.156,100,105.835,106.699,107.88,108.147,105.658,104.932,105.661,104.565,104.221,103.004
St Lucia,The consumer price index rebased to 2010=100 by the EIU,,37.927,43.663,45.678,46.351,47.329,47.577,48.619,52.033,52.465,54.759,57.096,60.607,63.721,64.262,66.071,69.791,70.436,70.433,72.688,75.235,78.026,82.167,81.958,82.805,84.014,87.29,89.381,91.904,97.004,96.852,100,102.769,107.063,108.639,112.461,111.354,107.91,108.038,110.132,110.726,107.887
St Vincent & The Grenadines,The consumer price index rebased to 2010=100 by the EIU,,37.759,42.568,45.645,48.137,49.437,50.465,51.047,52.514,52.531,–,–,61.427,63.794,66.532,67.203,68.371,71.385,71.702,73.238,73.98,74.104,74.772,76.159,76.316,78.575,81.509,83.742,89.802,98.842,99.258,100,103.186,105.867,106.72,106.927,105.073,104.916,107.175,109.666,110.667,109.972
Sudan,The consumer price index rebased to 2010=100 by the EIU,,0.007,0.009,0.011,0.015,0.019,0.028,0.035,0.042,0.07,0.114,0.193,0.431,0.938,1.888,4.067,6.847,15.571,22.916,28.558,33.46,35.843,36.537,44.657,47.555,52.147,56.583,60.656,69.606,79.557,88.513,100,118.101,160.109,218.576,299.24,349.846,411.945,545.222,890.294,1339.212,3396.132
Suriname,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,76.725,81.636,93.64,93.482,100,117.735,123.607,125.983,130.246,139.228,216.477,264.145,282.796,294.88,397.763
Sweden,The consumer price index rebased to 2010=100 by the EIU,Seasonally adjusted,30.773,34.499,37.459,40.795,44.067,47.314,49.317,51.399,54.227,57.672,63.36,69.314,70.73,74.283,76.035,78.049,79.044,80.442,81.182,82.29,83.145,85.188,87.064,89.225,90.208,91.209,92.493,93.868,96.402,98.065,100,101.39,102.358,103.234,103.725,104.615,106.113,108.191,110.472,112.365,112.893
Switzerland,The consumer price index rebased to 2010=100 by the EIU,,54.236,57.754,61.021,62.814,64.656,66.877,67.379,68.349,69.629,71.826,75.707,80.143,83.379,86.124,86.858,88.421,89.139,89.603,89.619,90.341,91.749,92.657,93.252,93.848,94.601,95.71,96.724,97.432,99.796,99.316,100,100.231,99.537,99.321,99.308,98.172,97.745,98.267,99.187,99.547,98.824
Syria,The consumer price index rebased to 2010=100 by the EIU,,4.674,5.533,6.325,6.712,7.332,8.597,11.697,18.655,23.399,34.396,34.116,35.949,39.19,43.994,47.422,56.962,61.661,62.824,62.324,61.099,60.849,61.099,59.361,62.802,65.586,70.334,77.385,80.409,93.069,95.788,100,104.753,143.2,217.305,324.167,448.833,662.947,782.78,790.146,896.2,1892.3
São Tomé and Príncipe,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.64,11.739,17.67,19.918,22.349,24.41,26.882,29.515,33.437,39.169,48.212,57.152,75.436,88.229,100,114.326,126.485,136.739,146.309,153.991,162.358,171.604,185.088,199.525,219.5
Taiwan,The consumer price index rebased to 2010=100 by the EIU,,52.292,60.826,62.622,63.479,63.459,63.359,63.799,64.127,64.953,67.821,70.619,73.177,76.444,78.695,81.92,84.924,87.536,88.328,89.817,89.974,91.099,91.093,90.913,90.659,92.118,94.244,94.808,96.513,99.917,99.044,100,101.424,103.384,104.204,105.449,105.128,106.592,107.254,108.701,109.31,109.049
Tajikistan,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.185,6.144,11.548,16.534,21.073,27.995,38.788,43.53,50.607,54.214,58.058,63.855,72.248,87.066,93.547,100,112.475,119.029,125.024,132.557,139.799,148.225,158.953,165.037,177.873,193.151
Tanzania,The consumer price index rebased to 2010=100 by the EIU,,0.59,0.742,0.956,1.215,1.654,2.205,2.92,3.794,4.978,6.265,7.499,9.171,11.195,14.845,20.325,28.561,34.552,40.112,45.246,48.816,51.708,54.369,57.261,60.297,63.153,66.333,71.142,76.14,83.966,94.162,100,112.326,130.298,140.557,149.175,157.521,165.664,174.476,180.598,186.825,192.969
Thailand,The consumer price index rebased to 2010=100 by the EIU,,32.401,36.474,38.408,39.865,40.184,41.167,41.927,42.953,44.622,47.023,49.744,52.593,54.766,56.573,59.448,62.892,66.558,70.305,75.9,76.08,77.368,78.611,79.127,80.559,82.826,86.529,90.615,92.583,97.653,96.809,100,103.801,106.925,109.263,111.332,110.332,110.54,111.275,112.461,113.255,112.296
Timor-Leste,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,63.905,66.539,71.281,73.589,74.415,77.356,85.315,93.058,93.658,100,113.509,126.911,140.853,142.037,142.979,140.87,141.595,144.837,146.246,146.977
Togo,The consumer price index rebased to 2010=100 by the EIU,,44.156,52.862,58.745,64.241,61.975,60.851,63.361,63.395,63.299,62.768,63.405,63.651,64.538,63.888,88.908,104.736,108.372,72.446,73.16,73.097,74.469,77.404,79.762,79.021,79.319,84.72,86.598,87.411,95.06,98.582,100,103.576,106.295,108.173,108.372,110.313,111.271,111.018,112.065,112.797,114.892
Tonga,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,31.968,35.396,38.206,38.573,38.963,39.532,40.716,41.582,42.943,44.86,47.699,51.653,57.004,63.638,70.622,76.742,81.461,86.22,95.227,96.586,100,106.271,107.49,108.324,111.044,109.873,112.706,121.094,129.6,130.2,129.7
Trinidad and Tobago,The consumer price index rebased to 2010=100 by the EIU,,10.525,12.034,13.434,15.472,17.536,18.872,20.324,22.51,24.256,27.029,30.019,31.155,33.161,36.755,39.994,42.067,43.499,45.077,47.607,49.244,51.017,53.874,56.094,58.215,60.391,64.535,69.898,75.393,84.493,90.46,100,105.077,114.815,120.739,127.607,133.553,137.674,140.279,141.708,143.126,143.983
Tunisia,The consumer price index rebased to 2010=100 by the EIU,,20.534,22.481,25.66,28.073,30.506,32.785,34.793,37.693,40.416,43.533,46.35,50.161,53.091,55.183,57.823,61.406,63.747,66.056,68.106,69.939,72.031,73.439,75.448,77.488,80.325,81.93,85.296,88.216,92.555,95.858,100,103.21,107.984,113.721,118.991,124.262,128.746,135.622,145.511,155.297,164.047
Turkey,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,0.015,0.027,0.043,0.1,0.1,0.2,0.3,0.7,1.3,2.3,4.2,7.8,12.9,20,30.9,44.7,56,60.8,65.8,72.2,78.5,86.7,92.1,100,106.5,115.9,124.6,135.7,146,157.4,174.9,203.461,234.363,263.159
Turkmenistan,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.617,17.659,32.382,37.963,47.122,48.62,49.3,53.6,56.6,60,66.4,71.8,76.3,87.4,90.9,100,112,121.5,132.5,147,170.6,189.3,219.6,258,296.7,340.4
Turks and Caicos Islands,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,72.786,75.232,77.373,78.596,80.388,82.528,85.587,86.854,88.82,93.101,96.899,100,105.2,108.472,111.184,113.741,116.243,118.568,121.058,123.6,126.443,129.351
Tuvalu,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,160.377,161.37,79.929,74.876,75.968,79.841,82.224,84.111,86.792,90.467,92.552,102.185,101.887,100,100.497,101.986,103.972,105.164,108.441,112.314,116.882,119.364,–,–
Uganda,The consumer price index rebased to 2010=100 by the EIU,Non-seasonally adjusted,–,–,–,–,–,–,–,–,–,–,–,–,–,36.088,39.71,42.311,45.353,48.888,49.094,51.922,53.683,54.711,54.546,59.297,61.475,66.761,71.576,75.939,85.085,96.16,100,118.675,135.304,142.702,148.821,154.314,162.292,171.447,175.944,180.067,185.032
Ukraine,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,0.203,2.012,9.594,17.291,20.037,22.157,27.183,34.849,39.017,39.312,41.36,45.098,51.195,55.841,63.013,78.893,91.437,100,107.958,108.568,108.285,121.387,180.483,205.593,235.288,261.044,281.629,289.345
United Arab Emirates,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,36.7,38.8,41.5,43.4,45.5,47.5,48.8,49.7,50.7,51.8,52.5,53.9,55.5,57.3,61.3,68.951,78.259,86.946,97.605,99.13,100,100.877,101.545,102.664,105.072,109.349,111.117,113.303,116.78,114.524,112.144
United Kingdom,The consumer price index rebased to 2010=100 by the EIU,Seasonally adjusted; Includes owner occupiers housing costs. 1989-2004 data estimated from the Harmonized consumer price index; Data prior to 1988 are derived from Office for National Statistics estimates.,36.9,41.1,44.4,46.6,48.5,50.8,52.2,53.8,55.9,58.8,63,67.7,70.6,72.4,73.8,75.8,77.6,79,80.3,81.3,82,83,84,85.2,86.3,88.1,90.268,92.433,95.672,97.572,100,103.837,106.503,108.95,110.533,110.95,112.046,114.938,117.564,119.614,120.812
United States of America,The consumer price index rebased to 2010=100 by the Economist Intelligence Unit,,37.777,41.698,44.266,45.664,47.659,49.341,50.3,52.1,54.236,56.834,59.914,62.44,64.339,66.25,67.969,69.876,71.928,73.61,74.748,76.388,78.959,81.183,82.479,84.374,86.625,89.541,92.426,95.079,98.706,98.39,100,103.14,105.278,106.821,108.547,108.678,110.056,112.402,115.143,117.228,118.692
Uruguay,The consumer price index rebased to 2010=100 by the EIU,,0.056,0.076,0.09,0.134,0.209,0.359,0.634,1.037,1.681,3.034,6.448,13.023,7.264,11.193,16.201,23.047,29.577,35.441,39.271,41.494,43.47,45.368,51.704,61.724,67.377,70.544,75.057,81.148,87.54,93.722,100,108.093,116.846,126.866,138.128,150.098,164.567,174.8,188.096,202.922,222.72
Uzbekistan,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.8,7.3,12.6,16.2,20.9,26.1,33.3,42.4,47.3,50.4,55.4,63.3,71.1,80.1,91.4,100,112.8,126.6,141.749,157.341,173.076,197.133,225.514,265.384,304.039,342.62
Vanuatu,The consumer price index rebased to 2010=100 by the EIU,,25.544,32.342,34.516,35.091,37.041,37.391,39.24,45.489,49.463,53.287,55.861,59.485,61.885,64.084,65.559,67.058,67.608,69.558,71.832,73.282,75.131,77.781,79.33,81.755,82.904,83.904,85.604,88.928,93.277,97.276,100,100.85,102.224,103.699,104.524,107.123,108.023,111.372,113.947,117.071,122.9
Venezuela,The consumer price index rebased to 2010=100 by the EIU,,0.046,0.054,0.059,0.063,0.07,0.078,0.087,0.111,0.144,0.266,0.374,0.501,0.659,0.91,1.464,2.341,4.679,7.021,9.533,11.78,13.689,15.404,18.86,24.723,30.1,34.902,39.668,47.086,61.387,78.011,100,126.09,152.656,214.695,348.168,772.02,2740.3,14745.9,9654733.4,1931528309,47421864030
Vietnam,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,0.05,0.296,1.189,4.853,8.459,11.539,21.081,29.028,31.467,34.393,40.206,42.487,43.851,47.037,48.974,48.136,48.326,49.745,51.354,55.338,59.922,64.357,69.694,85.806,91.57,100,118.676,129.47,138.008,143.641,144.549,148.403,153.618,159.053,163.498,168.767
Virgin Islands (British),The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,53.722,55.451,56.871,59.279,62.305,65.331,69.159,72.185,73.852,75.89,78.236,78.545,81.385,82.188,83.789,86.097,88.258,94.888,97.688,100,102.53,105.811,107.44,109.482,110.467,111.627,112.955,115.327,117.3,118.9
Yemen,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,3.814,5.224,6.826,9.266,13.843,21.468,28.066,28.677,30.391,33.023,34.311,38.329,43.098,47.746,53.732,59.967,66.47,71.725,85.335,89.967,100,119.544,131.363,145.81,157.5,219.7,230.4,300.1,382.5,423,538.8
Zambia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,0.092,0.116,0.216,0.439,1.14,3.228,4.985,6.718,9.63,11.98,14.923,18.913,23.836,28.921,35.369,42.927,50.639,59.907,65.33,72.287,81.278,92.163,100,106.436,113.435,121.35,130.825,144.051,169.792,180.96,194.522,212.322,245.727
Zimbabwe,The consumer price index rebased to 2010=100 by the EIU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.393,100,105.445,109.354,111.109,110.942,108.3,106.6,107.6,118.8,395.1,2746.4
