Imports from,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Liberia,M534F668,India: Imports [cif] from Liberia (Mil.US$),#N/A,1.26,0.61,#N/A,#N/A,#N/A,#N/A,#N/A,2.58,5.51,6.93,0.02,0,16.5,#N/A,#N/A,17.23,7.1,0.95,8.78,7.87,6.16,12.45,3.58,5.51,106.24,67.05,191.54,301.55,19.6,17.73,11.24,10.3,36.06,7.69,83.56,5.89,37.14,141.66,7.78,6.66
Libya,M534F672,India: Imports [cif] from Libya (Mil.US$),1.93,5.72,6.97,9.56,21.1,54.82,22.26,8.4,6.22,#N/A,23.26,#N/A,31.08,38.51,25.89,57.02,65.25,39.65,10.35,15.83,10.9,9.76,4.59,8.52,12.8,12.35,104.14,967.13,761.98,534.62,785.37,365.95,1332.22,990.13,73.6,9.36,5.64,26.91,177.6,82.02,12.65
Madagascar,M534F674,India: Imports [cif] from Madagascar (Mil.US$),0.7,5.18,0.51,0.03,0.84,1.05,7.42,2.04,4.47,5.56,0.21,1.82,0.76,0.28,1.43,2.35,1.77,3.45,3.13,3.3,1.15,1.86,3.51,4.77,6.9,14.26,18.52,17.35,13.03,21.9,20.71,62.63,90.55,51.58,71.23,129.18,127.1,140.15,150.97,272.73,109.26
Malawi,M534F676,India: Imports [cif] from Malawi (Mil.US$),#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,1.17,2,0.07,#N/A,#N/A,0,0,#N/A,2.63,1.93,1.35,0.43,0.55,0.37,1.69,1.7,4.16,4.92,2.62,4.21,12.84,13.86,85.23,33.71,20.33,42.64,19.54,31.34,66.57,42.04,18.94,19.62,36.26,4.54
Mali,M534F678,India: Imports [cif] from Mali (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,0.18,0.18,#N/A,0.08,0.69,#N/A,0.19,3.87,0.1,0.1,6.55,12.15,1.74,15.38,28.37,17.07,5.19,2.73,3.7,8.28,4.64,3.07,4.59,25.58,76.23,73.75,152.42,176.54,123.52,21.5,35.9,18.58
Mauritania,M534F682,India: Imports [cif] from Mauritania (Mil.US$),#N/A,#N/A,0.91,0.35,#N/A,#N/A,#N/A,0.04,0.03,#N/A,#N/A,#N/A,#N/A,0.01,0.21,#N/A,#N/A,0.08,0.03,#N/A,#N/A,0.01,0.02,0.03,0.97,1.09,0.74,1.04,4.68,1.89,1.72,2.6,7.74,11.02,30.14,28.84,14.25,4.37,15.03,11.42,5.94
Mauritius,M534F684,India: Imports [cif] from Mauritius (Mil.US$),0.06,0.07,0.16,0.04,0.11,0.15,0.02,#N/A,0.07,0.29,0.08,0.26,0.45,0.39,0.89,8.83,3.33,5.5,3,3.43,5.63,3.08,12.92,9.69,7.2,7.29,12.72,11.18,15.91,9.23,16.04,34.42,31.41,21.37,21.54,20.11,18.99,18.45,74.85,26.65,37.12
Morocco,M534F686,India: Imports [cif] from Morocco (Mil.US$),28.49,29.44,45.5,38.54,67.77,119.74,156.36,113.33,159.46,51.17,216.32,360.5,329.27,133.71,263.34,302.98,304.54,432.78,416.85,415.58,341.5,252.64,216.34,241.62,256.32,432.82,482.57,496.79,990.44,731.08,864.28,1490.85,1430.72,934.68,868.36,1097.12,839.76,774.09,1172.4,1102.88,1286.4
Mozambique,M534F688,India: Imports [cif] from Mozambique (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.18,0.5,0.28,2.31,5.63,23.16,17.56,6.63,31.6,17.25,22.48,31.63,24.4,12.81,22.48,24.65,36.55,48.35,33.89,42.62,59.49,43.59,87.37,124.16,257.78,245.65,328.43,374.64,411.2,983.03,1031.3,856.89,711.59
Niger,M534F692,India: Imports [cif] from Niger (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,38.76,#N/A,#N/A,0.01,0.08,0.03,0.08,1.23,2.08,0.19,1.67,1.11,0.75,4.25,1.85,0.51,0.26,10.42,0.13,69.23,0.51,0.54,0.22,0.16,19.76,1,0.78,4.16
Nigeria,M534F694,India: Imports [cif] from Nigeria (Mil.US$),1.13,17.97,0.36,0.37,0.66,0.37,0.57,37.46,29.3,4.73,20.35,125.18,625.42,771.15,456.81,628.83,1372.77,1218.03,1162.15,2490.73,779.95,73.4,80.37,76.26,55.02,66.45,5288.32,7468.8,10093,5674.82,10297.6,13750.21,13379.99,12850.63,15674.13,10220.3,7404.76,8339.16,11169.96,10609.37,6335.33
Reunion,M534F696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,M534F698,India: Imports [cif] from Zimbabwe (Mil.US$),#N/A,1.01,6.2,2.28,4.52,10.59,9.32,8.55,9.6,10.56,11.48,9.04,12.85,9.16,9.76,15.42,12.41,16.33,15.48,14.23,9.73,12.55,15.16,15.83,23.9,25.95,30.54,24.73,15.62,18.96,12.5,9.02,33.01,10.32,30.23,22.46,48.3,71.18,17.14,11.99,2.48
Rwanda,M534F714,India: Imports [cif] from Rwanda (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,1,0,1,1,3,0,0,0,0,0,1,2,1,4,7,4,6
São Tomé and Príncipe,M534F716,India: Imports [cif] from Sao Tome & Principe (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.01,0,0,0.07,0.05,0.05,0.06,0.02,#N/A,0.04,0.01,0.02,#N/A,0.01,#N/A,0.08
Seychelles,M534F718,India: Imports [cif] from Seychelles (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9,#N/A,#N/A,0.04,#N/A,0.01,#N/A,0.02,#N/A,4.27,#N/A,0.23,0.08,#N/A,#N/A,0.02,0.05,0.06,0.45,1,0.85,0.89,1.26,1,8.94,2.94,2.47,1.67,0.92,0.83,0.95,0.79,5.02,4.84,3.54
Senegal,M534F722,India: Imports [cif] from Senegal (Mil.US$),6.6,4.47,7.29,5.63,14.84,48.08,45.8,27.18,29.45,41.7,86.53,101.29,120,21.06,11.68,24.48,8.89,41.05,99.85,94.75,55.05,103.8,162.7,151.82,163.47,264.72,127.71,130.66,204.62,231.13,182.95,391.91,118.89,118.56,207.07,227.37,335.51,545.39,620.76,485.14,394.72
Sierra Leone,M534F724,India: Imports [cif] from Sierra Leone (Mil.US$),0.12,0.02,0.13,0.61,0.44,#N/A,1.22,0.09,0.23,#N/A,0,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,#N/A,0.15,0.13,0.77,0.51,3.22,5.89,3.32,3.24,2.65,38.18,54.6,3.78,6.96,5.22,5.28,5.72,17.26,20.11,13.31,21.23,13.88,20.51,13.4
Somalia,M534F726,India: Imports [cif] from Somalia (Mil.US$),0.11,0.01,0.01,#N/A,0.02,#N/A,0.03,0.02,0.05,0.72,1.35,0.59,1.82,0.37,1.05,0.72,12.06,4.1,0.95,0.8,2.53,4.83,23.56,13.92,7.32,10.53,16.5,10.33,9.62,3.82,9.27,3.11,7.39,39.45,49.57,16.49,17.47,3.87,11.47,21.91,5.11
British Somaliland,M534F727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,M534F728,India: Imports [cif] from Namibia (Mil.US$),#N/A,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,0,0.01,1.89,0.09,0.02,0.08,0.03,0.15,0.35,0.19,2.5,0.89,0.06,15.59,7.76,16.58,2.78,40.31,34.24,13.47,8.15,14.17,31.78,12.44,35.09,59.98,68.13,22.77,32.36
Sudan,M534F732,India: Imports [cif] from Sudan (Mil.US$),2.02,1.05,2.28,2.21,2.93,2.68,1.79,1.15,9.57,6.3,1.9,0.1,1.9,0.53,10.86,16.64,5.59,4.95,12.45,8.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,561.17,378.37,644.33,479.95,177.75,315.89,655.86,188.88,169.59,477.88,703.48,466.59,254.23
Swaziland,M534F734,India: Imports [cif] from eSwatini (Mil.US$),0.09,1.65,1.58,1.93,0.49,0.64,0.02,0.02,0.01,0.53,0,#N/A,0.88,3.95,2.68,2.01,1.34,2.53,0.48,0.53,0.83,0.35,0.39,1.38,2.75,18.51,48.59,42.09,48.64,19.21,98.37,55.23,76.7,30.78,119.8,41.56,30.41,25.22,9.62,7.69,5.71
Tanzania,M534F738,India: Imports [cif] from Tanzania (Mil.US$),35.81,55.81,37.54,34.02,34.92,23.02,30.04,35.22,34.73,19.94,29.89,34.56,37.2,43.75,58.03,63.6,96.86,69.48,110.45,124.53,75.75,83.15,87.39,104.78,123.56,122.73,103.52,147.89,196.64,250.21,284.4,254.75,523.43,847.18,927.24,1006.97,827.91,1106.55,1014.39,858.79,912.67
Togo,M534F742,India: Imports [cif] from Togo (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,11.69,3.76,5.55,7.95,10.01,17.22,10.82,0.97,1.52,2.21,7.61,2.05,8.38,3.55,11,13.07,12.13,12.34,18.71,34.38,70.95,77.01,64.72,106.73,84.85,87.48,126.28,196.15,139.97,206.19,257.38,132.35,145.58,282.82,363.36,255.93
Tunisia,M534F744,India: Imports [cif] from Tunisia (Mil.US$),7.18,0.37,11.03,9.14,9.33,24.72,15.91,7.47,23.73,54.84,42.66,86.36,98.85,44.25,77.43,92.45,89.54,137.1,186.35,190.33,111.35,97.45,96.16,71.9,82.08,99.6,133.45,153.13,597.08,236.25,303.23,145.14,225.64,117.66,185.63,115.24,152.25,117.29,137.77,140.3,127.35
Uganda,M534F746,India: Imports [cif] from Uganda (Mil.US$),0.05,0.02,#N/A,#N/A,0,0.06,0.14,0.01,0.03,#N/A,0.55,1.04,0.45,0.4,0.23,0.49,1.42,0.83,0.35,1.8,2.9,1.3,1.78,2.03,5.3,3.78,4.25,12.52,18.48,13.1,13.15,16.94,27.58,32.7,36.6,37.23,68.22,59.7,30.25,33.06,35.67
Burkina Faso,M534F748,India: Imports [cif] from Burkina Faso (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.58,10.05,11.05,12.18,10.37,10.24,8.94,4.13,4.84,15.91,42.95,7.38,3.19,19.8,14.63,16.42,79.96,276.79,175.62,650.19,703.7,684.29,340.36
Zambia,M534F754,India: Imports [cif] from Zambia (Mil.US$),75.2,71.48,62.34,85.58,71.92,92.16,61.14,103.98,96.75,136.46,100.2,49.38,81.52,45.13,56.44,66.23,80.99,98.93,53.63,29.28,15.2,12.48,14.17,17.51,21.81,36.16,74.82,77.66,132.23,159.82,48.49,123.55,289.03,303.75,229.77,404.24,723.3,953.32,651.04,747.97,342.28
Spanish Sahara,M534F798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,M534F813,India: Imports [cif] from Solomon Islands (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.32,0.18,1.16,0.53,0.25,0.02,0.92,#N/A,2.1,1.73,6.43,2.95,2.5,4.49,1.99,2,0.78,2.15,2.16,5.42,0.64,1.22,0.01,14.76,20.24,4.05,5.35,68.33,60.58,55.06,66.24,41.79,20.38
Faeroe Islands,M534F816,India: Imports [cif] from Faroe Islands (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,0.01,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,0.08,0.03,#N/A,#N/A,#N/A,0,#N/A,0.02,0.03,0.14,0.01,0.08,7.37,0.04,#N/A,0,0.05,0.05,#N/A,#N/A,0.04,#N/A,#N/A
Fiji,M534F819,India: Imports [cif] from Fiji (Mil.US$),#N/A,0.01,0.69,#N/A,0.11,0.02,0.06,#N/A,#N/A,0.36,#N/A,#N/A,0,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.01,1.28,0.65,0.71,14.16,4.84,0.5,1.41,2.13,2.67,1.28,2.02,1.1,1.28,0.61,0.41,0.72,0.71,0.85
Gibraltar,M534F823,India: Imports [cif] from Gibraltar (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,3.34,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,0.32,#N/A,0,0.27,0.1,0.19,0.2,0,11.6,0.06,0,0.22,0,#N/A,#N/A,#N/A,0.03,1.01,0.35
Kiribati,M534F826,India: Imports [cif] from Kiribati (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.01,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,#N/A,#N/A,0.03,0.01,0.06,#N/A,0.45,#N/A,0.08,0,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guam,M534F829,India: Imports [cif] from Guam (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,1,0,0,0,#N/A,0,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,0
Nauru,M534F836,India: Imports [cif] from Nauru (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,0.71,0.18,1.58,6.6,7.57,3.67,2.14,3.31,2.18,0.56,0.61,0.49,24.37,16.55,7.03,10.07,26.2,4.74,5.2,10.8,0.05,0.01,0.16,0.07,#N/A
New Caledonia,M534F839,India: Imports [cif] from New Caledonia (Mil.US$),#N/A,#N/A,#N/A,0.43,4.17,6.85,2.93,4.33,8.12,8.9,1.86,3.47,2.79,2.51,3.15,7.32,0.16,0.15,0.05,0.15,0.35,0.79,1.2,8.7,8.61,4.62,16.78,12.96,14.65,2.4,6.51,8.78,23.09,31.67,24.12,31.9,41.2,11.25,0.24,0.17,1.15
Vanuatu,M534F846,India: Imports [cif] from Vanuatu (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,24,3,#N/A,11,4,36,19,3,8,0,0,0,5,#N/A,0,0,0,#N/A,#N/A,0,0
Papua New Guinea,M534F853,India: Imports [cif] from Papua New Guinea (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.58,2.38,4.9,1.61,2.97,3.49,3.62,4.6,2.29,2.97,3.51,3.08,2.23,1.63,0.6,0.19,0.32,0.81,69.92,71.89,226.01,215.58,271.55,102.27,150.29,204.68,110.29,173.91,210.32,190.19,98.41,158.69,114.17,75.61,83.4
St Helena,M534F856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis-Futuna,M534F857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,M534F859,India: Imports [cif] from American Samoa (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,63,22,0,0,0,1,1,0,1,1,0,0,#N/A,2,2
Wake Islands,M534F861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,M534F862,India: Imports [cif] from Samoa (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.03,0.18,#N/A,#N/A,#N/A,0.6,0.35,#N/A,#N/A,0.01,#N/A,0.04,0.84,0.28,0.02,0.05,0.12,0.06,0.18,0.06,1.16,0.95,7.83,0.23,2.47,3,0.64
Tonga,M534F866,India: Imports [cif] from Tonga (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.89,#N/A,0.08,0.15,#N/A,0.24,0,0.11,0.11,0.07,0.02,0.01,0,0.05,#N/A,0.05,#N/A,0
Tuvalu,M534F869,India: Imports [cif] from Tuvalu (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,1,0,0,#N/A,#N/A,0,#N/A,1,0,#N/A,0,#N/A,#N/A,#N/A
US Poss in Oceania,M534F877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antartica,M534F886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,M534F911,India: Imports [cif] from Armenia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.06,0.23,0.13,0.03,#N/A,#N/A,0.45,0.54,0.23,0.53,0.75,1.75,57.67,21.87,3.69,2.34,6.42,6.98,1.68,0.69,1.85,14.05,1.34,0.4,0.73,1.85,75.07
Azerbaijan,M534F912,India: Imports [cif] from Azerbaijan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.01,0.04,0.19,0.13,0.03,0.3,0.18,0.01,1.35,2.7,6.33,6.32,51.75,146.25,245.2,100.18,327.05,493.47,930.17,957.77,421.85,83.75,280.94,538.78,315.94,339.04,58.41
Belarus,M534F913,India: Imports [cif] from Belarus (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.29,0.37,0.42,1.35,0.38,0.25,1.2,1.95,4.41,6.56,6.83,10.6,31.48,79.49,117.25,254.46,490.07,195.57,112.37,254.2,152.61,198.5,163.59,136.42,182.48,225.12,207.95,222.01
Albania,M534F914,India: Imports [cif] from Albania (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.95,#N/A,0.03,#N/A,0.01,0.29,0.05,0.21,#N/A,#N/A,0.15,0.05,#N/A,0,0,0.01,0.03,0.15,0.08,0.43,0.62,0.27,0.07,92.63,43.97,151.88,98.57,12.04,8.48,36.64,14.06,61.49,4.49
Georgia,M534F915,India: Imports [cif] from Georgia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.23,#N/A,0.02,#N/A,#N/A,#N/A,#N/A,0.45,0.43,5.06,5.76,12.61,18.76,61.25,26.78,16.23,8.7,28.38,65.63,55.33,23.72,26.16,21.37,30.11,24.34,22.18,13.1,79.79
Kazakhstan,M534F916,India: Imports [cif] from Kazakhstan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.86,7.76,9.65,30.15,18.3,13.23,13.88,10.67,11.39,10.13,13.85,23.57,72.73,79.64,139.32,147.25,157.79,122.81,169.94,435.67,923.55,336.78,322.11,981.55,743.81,1591.74,1283.22
Kyrgyz Republic,M534F917,India: Imports [cif] from Kyrgyzstan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.61,#N/A,0.01,0.98,#N/A,0.08,1.38,3.75,0.56,0.49,0.52,0.6,1.26,0.95,0.87,0.96,0.61,1.04,0.74,2.21,0.65,0.49,1.57,1.78,30.74,1.7,2.04,5.3
Bulgaria,M534F918,India: Imports [cif] from Bulgaria (Mil.US$),45.33,85.72,79.89,11.51,25.55,50.35,34.61,8.58,12.96,21.37,20.79,14.9,37.58,42.34,13.81,38.31,44.66,17.75,4.55,29.43,19.38,15.57,10.37,10.47,15.98,22.54,64.33,109.16,92.54,31.17,51.76,99.62,83.39,89.05,108.44,88.3,121.62,197.82,130.6,137.74,127.76
Moldova,M534F921,India: Imports [cif] from Moldova (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.1,0.03,#N/A,#N/A,0.02,1.36,0.47,0.12,0.2,0.39,0.41,7.42,1.07,0.11,0.5,0.25,0.75,1.66,4.85,3.11,9.59,0.69,0.42,0.15
Russia,M534F922,India: Imports [cif] from Russia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,199.93,#N/A,388.6,825.56,631.79,665.75,578.68,603.78,544.08,515.51,578.33,867.87,1188.94,1847.33,2312.67,2453.74,4372.77,3472.32,3596.16,4004.47,4754,3789.46,4221.14,4530.62,4821.28,7275.27,6849.39,6238,5937.62
Tajikistan,M534F923,India: Imports [cif] from Tajikistan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.75,1.91,2.36,1.8,0.2,1.88,2.35,0.95,1.37,0.4,2.99,3.97,5.44,7.51,9.28,14.57,17.77,22.4,6.96,18.33,0.52,3.55,9.85,14.72,43.62,15.49,0.29,0.36
China,M534F924,India: Imports [cif] from P.R. China (Mil.US$),83.43,79.21,119.91,70.1,65.69,103.93,142.52,109.79,122.78,38.93,30.73,20.97,93.81,258.61,622.36,811.47,702.08,1028.7,1102.35,1240.03,1448.6,1809.15,2603.13,3737.92,6073.29,9925.53,15812.51,24691.96,33606.08,28839.64,41332.61,55299.34,52407.2,51456.48,58279.59,61592.82,60539.51,71955.71,73759,68344.55,58798.82
Turkmenistan,M534F925,India: Imports [cif] from Turkmenistan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.69,4.17,0.58,0.08,0.08,0.33,0.92,1.64,4.54,8.35,10.15,11.98,12.13,9.45,12.3,8.02,12.72,13.92,9.19,12.75,15.51,46.56,21.75,14.34,33.42,3.73,0.69
Ukraine,M534F926,India: Imports [cif] from Ukraine (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,146.18,247.05,198.96,165.25,146.78,148.4,135.8,193.49,187.94,225.1,427.41,728.96,947.05,913.48,1399.64,1525.06,1348.66,2128.73,2581.02,2131.35,2200.47,1806.14,1954.14,2555.64,2281.01,2092.63,2117.48
Uzbekistan,M534F927,India: Imports [cif] from Uzbekistan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.04,5.89,10.79,4.39,2.68,1.95,10.18,11.2,17.4,19.73,25.91,29,27.47,31.94,20.52,76.13,27.75,24.16,52.75,32.68,35.05,38.89,56.79,46.49,94.04,107.07,92.29,15.61
Cuba,M534F928,India: Imports [cif] from Cuba (Mil.US$),#N/A,0.35,4.82,4.46,8.59,20.73,0.94,26.97,21.28,9.65,9.31,4.42,7.28,3.72,2.06,4.93,6.06,5.78,4.23,4.38,4.9,4.98,3.68,2.29,1.76,2.92,1.66,10.96,14.53,1.44,1.09,3.32,4.67,2.53,1.2,1.52,1.18,2.05,3.96,2.61,70.46
Czech Republic,M534F935,India: Imports [cif] from Czech Republic (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31.48,37.39,59,58,#N/A,#N/A,#N/A,#N/A,37.52,#N/A,105.23,158.62,239.12,330.4,423.55,583.79,481.68,623.94,731.56,681.24,544.36,506.12,525.51,530.34,627.76,370.89,266.46,365.82
Slovakia,M534F936,India: Imports [cif] from Slovakia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.18,9.57,2.64,#N/A,#N/A,#N/A,#N/A,12.31,11.7,10.81,19.39,35.62,24.81,38.27,50.18,34.37,73.48,96.57,73.02,47.47,65.78,136.88,69.96,80.31,69.74,60.22,34.76
Estonia,M534F939,India: Imports [cif] from Estonia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.85,0.1,3.03,0.17,0.05,0.45,0.83,0.45,0.44,2.11,0.35,0.56,6.94,21.93,14.62,16.22,32.66,42.51,161.18,282.11,103.1,114.37,159.08,88.04,74.43,82.29,81.94,62
Latvia,M534F941,India: Imports [cif] from Latvia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.77,11.44,7.8,11.6,12.35,3.73,3.53,0.73,2.36,1.03,0.91,7.87,26.01,38.7,102.28,151.21,170.23,187.15,75.68,76.5,69.78,61.93,39.71,49.38,109.59,190,166.98
Hungary,M534F944,India: Imports [cif] from Hungary (Mil.US$),32.51,36.71,29.41,42.85,23.27,38.48,34.07,37.39,49.49,64.58,93.92,35.89,33.41,25.74,16.56,15.55,9.18,10.93,10.08,11.65,14.43,17.54,21.44,25.65,30.32,31.6,94.84,113.93,159.67,194.72,327.89,410.67,294.5,231.09,236.27,250.28,211.46,259.09,259.36,191.6,200.08
Lithuania,M534F946,India: Imports [cif] from Lithuania (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.62,0,0.02,1.4,0.35,0.23,7.78,3.4,0.96,4.43,9.5,15.86,26.13,22.35,12.3,503.24,142.45,124.27,201.56,46.82,38.11,125.89,184.48,238.8,193.33,164.53,283.36,282.98
Mongolia,M534F948,India: Imports [cif] from Mongolia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.24,0.19,0.57,1.69,0.02,#N/A,0.05,#N/A,0.02,0.09,0.18,0.2,0.28,0.15,0.01,0.42,0.69,0.34,1.27,2.09,7.53,19.72,1.89,2.1,21.77,10.2,8.91,3.66,4.62,2.37,1.81,0.84,1.25,0.83
