Imports from,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,M534F193,India: Imports [cif] from Australia (Mil.US$),210.2,174.46,405.9,183.44,58.27,411.84,332.1,342.83,425,432.66,756.77,560.84,826.32,685.82,840.99,944.65,1089.15,1443.5,1455.15,1172.6,1067.55,1217.67,1329.12,2321.11,3333.13,4667.07,6493.07,7629.74,11125.93,10743.83,12073.75,13424.05,13619.93,11093.98,10004.08,9467.95,8742.2,14325.13,14139.56,10573.69,7263.61
New Zealand,M534F196,India: Imports [cif] from New Zealand (Mil.US$),10.95,34.8,25.47,21.05,26,27.32,38.87,41.7,41.67,32.24,60.45,68.35,64.12,70.36,70.28,62.36,72.9,82.73,87.18,94.45,83.6,75.7,77.84,78.27,100.07,194.46,253.5,318.5,458.9,427.44,651.79,713.16,773.06,633.1,599.35,548.75,508.92,612.21,633.2,557.84,410.84
South Africa,M534F199,India: Imports [cif] from South Africa (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.44,#N/A,#N/A,117.62,170.83,315.73,453.83,1138.45,1849.75,1270.35,1396.9,1930.34,1947.76,2085.3,2403.27,2471.7,3327.73,5775.56,4900.68,6932.14,9334.77,8641.47,7553.74,5999.88,6327.87,5105.12,6885.05,6612.31,6641.32,6673.14
Argentina,M534F213,India: Imports [cif] from Argentina (Mil.US$),22.62,11.71,14.51,3.08,132.21,26,32.63,32.3,38.66,68.38,54.57,36.83,31.62,44.47,45.48,126.96,125.48,146.48,286.53,345.45,372.48,445.46,412.1,494.01,517.57,700.43,848.95,899.21,602.83,608.16,1033.8,1108.26,1221.76,1122.88,2015.12,2215.07,2593.47,2486.77,1809.49,2167.61,2617.61
Bolivia,M534F218,India: Imports [cif] from Bolivia (Mil.US$),0.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.11,0.33,0.62,0.61,0.37,0.49,#N/A,0.04,#N/A,#N/A,#N/A,10.8,6.39,1.45,1.55,0.59,0.76,2.44,3.4,5.85,4.54,5.88,5.48,3.38,6.72,2.14,187.7,127.73,597.51,763.69,798.42,1015.85
Brazil,M534F223,India: Imports [cif] from Brazil (Mil.US$),248.26,239.15,243.84,207.23,314.2,322.31,212.44,278.11,281.3,215.52,226.99,194.5,213,113.82,540.96,220.21,167.84,187.55,196.65,297.13,191.63,266.78,314.63,314.34,649.89,867.89,967.03,959.19,1165.89,3007.09,3244.34,3795.06,5405.6,3722.4,5534.78,4134.25,3613.5,5099.84,4619.21,3064.79,3194.99
Chile,M534F228,India: Imports [cif] from Chile (Mil.US$),1.35,0.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.48,37.04,53.65,9.04,9.6,23.97,38.12,58.38,105.09,78.48,60.25,78.2,64.2,69.45,149.18,159.38,296.12,412.27,1547.01,1861.59,1790.89,997.2,1572.52,1820.72,2498.02,3244.17,3182.35,2307.65,1220.46,1700.42,1695.88,1140.76,853.33
Colombia,M534F233,India: Imports [cif] from Colombia (Mil.US$),0.01,7.4,8.69,0.34,7.09,10.74,9.71,9.01,11.09,25.86,23.71,19.03,21.56,11.5,46.25,15.46,2.12,5.4,3,2.6,7.98,10.89,5.72,9.31,13.09,10.56,59.8,82.04,22.59,340.94,773.65,700.25,1382.35,4296.7,3554.38,879.46,484.15,646.4,1028.34,719.39,1158.8
Costa Rica,M534F238,India: Imports [cif] from Costa Rica (Mil.US$),#N/A,#N/A,0.19,#N/A,#N/A,0.18,0.03,#N/A,#N/A,0.14,#N/A,0.05,0.42,0.28,0.12,0.15,0.16,0.28,1.2,1.05,0.9,0.96,4.29,20.53,31.86,37.26,42.41,77.27,61.43,91.98,102.24,159.87,223.65,219.14,184.66,69.17,58.36,68.58,49.46,51.62,39.12
Dominican Republic,M534F243,India: Imports [cif] from Dominican Rep (Mil.US$),#N/A,0.01,3.05,0.54,3.29,4.6,9.25,6.53,5.11,1.08,0.65,0.08,0.07,0.01,0.01,0.05,0.26,#N/A,#N/A,0.3,0.18,#N/A,0.09,1.34,2.46,4.7,2.7,2.57,9.54,8.53,15.35,8.37,10.35,12.92,85.05,600.65,637.9,594.74,549.42,459.61,198.44
Ecuador,M534F248,India: Imports [cif] from Ecuador (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,#N/A,#N/A,0,6.08,5.33,5.28,1.98,6.68,7.93,3.63,2.74,4.91,18,20.98,42.08,174.83,60.16,62.04,170.62,53.89,757.62,367.46,1002.55,640.02,220.79,329.03,220.01,312.36,320.67
El Salvador,M534F253,India: Imports [cif] from El Salvador (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.23,0.28,0.25,#N/A,#N/A,#N/A,0.55,#N/A,0.1,0.3,0.25,#N/A,0.46,1.03,1.11,1.65,2.01,2.39,5.02,5.78,5.53,5.04,11.01,7.72,8.99,8.36,8.85,4.73,9.43,4.78,3.3,3.7
Guatemala,M534F258,India: Imports [cif] from Guatemala (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,0.1,0.13,#N/A,0.32,0.25,0.23,5.44,#N/A,0.19,0.05,0.68,0.9,0.3,0.2,2.06,0.75,0.81,1.64,2.03,3.2,4,4.11,40.05,7.97,6.06,13.49,16.95,13.67,18,17.52,16.13,21.3,21.02
Haiti,M534F263,India: Imports [cif] from Haiti (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,0.12,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.03,0.37,0.88,0.47,0.92,1.76,1.6,1.74,1.31,1.43,1.82,0.96,1.46,2.88,3.61,6.47,11.42,15.92,12.28
Honduras,M534F268,India: Imports [cif] from Honduras (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.27,0.04,0.03,0.27,1.13,0.02,4.34,#N/A,#N/A,#N/A,#N/A,0.07,0.4,0.14,0.02,0.16,0.29,1.35,2.02,4.22,5.27,22.6,5.05,14.79,23.11,26.24,17.91,20.28,15.43,12.76,23.75,10.16
Mexico,M534F273,India: Imports [cif] from Mexico (Mil.US$),7.65,60.22,24.39,4.74,8.39,21.29,19.42,37.47,39.65,58.67,91.04,63.21,65,35.87,52.39,55.32,32.6,70.4,88.88,95.38,64.48,63.71,64.7,71.8,77.83,93.87,617.2,1085.33,1774.21,978.26,990.45,2185.38,3536.42,4295.46,3449.05,2732.35,2441.5,3532.27,4991.62,4880.99,3066.13
Nicaragua,M534F278,India: Imports [cif] from Nicaragua (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,0.12,#N/A,#N/A,0.06,0.05,#N/A,#N/A,#N/A,#N/A,0.05,0.51,0.38,0.21,4.17,1.43,0.3,0.81,0.35,0.76,1,0.94,2.59,1.98,3.73,2.88,3.81,3.27,4.06,4.93
Panama,M534F283,India: Imports [cif] from Panama (Mil.US$),0.01,0.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.54,0.28,0,0.98,0.49,36.13,24.98,4.48,7.17,8.95,20.17,10.88,76.1,210.84,291.32,263.82,266.25,348.53,283.1,219.38,104.07,48.37,94.38,74.15,52.67,134.45,40.16,77.37,29.09
Paraguay,M534F288,India: Imports [cif] from Paraguay (Mil.US$),0.01,0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,0,0.07,0.03,0.12,0.44,0.31,0.41,0.14,0.5,0.53,0.28,0.42,16.7,4.99,0.72,2.27,3.85,3.18,1.05,0.5,5.22,5.24,11.43,8.25,4.99,56.85,114.34,160.78,154.6,54.23,23.16,17.37
Peru,M534F293,India: Imports [cif] from Peru (Mil.US$),2.8,0.13,5.68,1.29,0.78,3.67,4.89,6.6,5.3,7.55,20.17,1.69,3.89,2.9,4.29,0.52,18.41,16.85,10.5,39.45,19.2,26.97,25.57,28.63,32.1,26.38,102.06,149.96,297.6,100,212.01,432.73,423.65,693.71,563.33,740.94,988.74,2068.61,2473.34,1756.67,1376.85
Uruguay,M534F298,India: Imports [cif] from Uruguay (Mil.US$),6.64,0.52,0.12,0.29,0.01,1.1,0.45,0.21,0.15,0.14,0.25,1.11,3.46,0.94,2.67,2.63,1.88,2.7,2.2,1.98,2.67,2.4,4.37,8.83,5.51,4.04,6.47,11.75,16.58,13.56,17.33,28.94,24.5,20.72,20.5,18.57,13.59,24.27,35.57,47.89,140.1
Venezuela,M534F299,India: Imports [cif] from Venezuela (Mil.US$),61.7,153.69,86.1,27.97,0.26,15.42,14.21,30.42,29.1,8.33,20.33,3.7,12,39.94,15.61,10.1,35.28,20.05,8.75,3.6,11.45,2.24,3.43,2.81,3.54,8.17,559.73,483.45,4115.81,1836.59,4990,6052.4,12056.77,14918.59,13198.94,6742.11,5078.6,5897.69,7396.67,5689.93,2335.28
Antigua and Barbuda,M534F311,India: Imports [cif] from Antigua & Barbuda (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,1,0,0,0,16,0,0,0,0,0,#N/A,0,0,0,0
Bahamas,M534F313,India: Imports [cif] from Bahamas (Mil.US$),10.63,#N/A,0.04,0.04,248.52,0.06,#N/A,#N/A,#N/A,#N/A,1.28,0.02,34.92,1.11,1.28,1.88,4.89,0.63,#N/A,#N/A,#N/A,0.07,0.27,0.14,#N/A,11.51,9.15,3.21,40.6,0.44,0.56,7.44,0.12,103.05,494.45,77.32,258.28,40.26,6.45,46.68,35.86
Aruba,M534F314,India: Imports [cif] from Aruba (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,2,0,0,0,0,4,0,0,0,1
