Exports to,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Malawi,X534T676,India: Exports to Malawi (Mil.US$),2.43,3.03,5.66,0.99,0.55,1.35,0.48,0.37,1.39,#N/A,1.81,5.89,8.73,10.4,13.76,11.25,13.43,12.18,10.35,17.7,19,21.23,28.23,36.36,52.22,47.29,42.86,58.8,90.33,86.64,91.81,137.31,130.94,201.7,243.1,177.95,173.59,223.78,177.04,192.29,151.81
Mali,X534T678,India: Exports to Mali (Mil.US$),0.21,0.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,4.02,3.86,5.39,3.77,4.17,8.26,17.4,9.95,16.1,15.58,16.17,29.08,25.14,38.52,26.94,26.35,54.86,40.15,34.83,39.2,49.52,102.41,79.5,114.79,131.53,105.64,103,123.19,129.17,142.73,168.22
Mauritania,X534T682,India: Exports to Mauritania (Mil.US$),3.04,2.36,1.91,2.7,1.94,1.52,0.98,0.64,0.58,#N/A,0.2,2.85,4.28,3.38,1.74,1.56,0.77,3.25,4.88,8.23,12.58,18.98,20.35,18.66,22.26,40.03,27.57,27.02,34.69,30.19,31.59,44.44,40.52,55.78,59.75,58.02,64.63,67.49,116.09,89.17,82.13
Mauritius,X534T684,India: Exports to Mauritius (Mil.US$),14.19,14.57,11.92,7.75,12.06,11.73,15.16,25.95,28.86,#N/A,44.04,53.45,63.96,76.23,106.01,135.13,154.21,175.78,165.98,168.38,192.48,168.22,164,193.36,236.89,214.13,602.26,998.66,1212.13,385.41,686.62,1296.34,1365.9,924.1,1443.84,936.46,652.9,788.85,970.47,782.05,398.51
Morocco,X534T686,India: Exports to Morocco (Mil.US$),5.54,5.87,4.24,22.56,2.53,7.45,8.2,7.9,9.46,15.6,9.6,10.83,16.52,16.74,12.42,21.05,28.11,27.75,28.38,26.75,36.63,49.74,109.22,97.57,103.28,123.75,155.1,197.08,258.52,228.75,293.44,386.23,412.6,404.3,343.16,328.56,369.18,413.68,481.32,935.95,555.6
Mozambique,X534T688,India: Exports to Mozambique (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.04,#N/A,6.83,7.63,14.25,24.04,15.5,28.72,24.75,27.5,24.58,29.63,31.98,30.86,42.73,63.53,76.14,115.98,175.68,382.29,454.85,338.22,495.89,575.59,881.94,1327.63,1875.48,1402.64,875.53,1051.28,804.99,2133.5,1444.43
Niger,X534T692,India: Exports to Niger (Mil.US$),0.37,0.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.09,0.29,0.32,0.37,0.85,2.41,5.33,5.83,10.38,12.68,22.88,40.32,48.6,40.74,35.98,26.76,16.31,39.17,27.89,31.2,42.73,89.23,56.31,83.51,83.11,65.95,81.48,116.64,99.22,85.77,69.63
Nigeria,X534T694,India: Exports to Nigeria (Mil.US$),68.18,70.25,67.72,38.74,30.88,11.92,25.48,35.03,44.79,#N/A,62.68,103.88,148.02,121.47,112.81,138.58,143.88,198.23,239.95,282.3,361.95,504.93,477.6,536.39,600.97,816.69,896.12,1038.38,1505.26,1396.48,1925.42,2653.26,2821.35,2613.83,2873.62,2286.47,1743.77,2066.23,2741.52,3675.8,2953.86
Reunion,X534T696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,X534T698,India: Exports to Zimbabwe (Mil.US$),0.04,0.65,2.57,2.26,0.56,2.44,2.76,4.1,4.69,6.29,9.03,6.59,2.98,6.05,7.01,14.56,19.63,23.2,23.68,19.78,15.95,11.06,15,21.59,23.02,23.86,29.94,31.9,60.93,36.78,79.61,145.42,133.27,178.17,197.77,235.62,116.83,154.68,188.64,157.57,166.83
Rwanda,X534T714,India: Exports to Rwanda (Mil.US$),0.18,0.37,0.39,0.1,0.9,0.14,0.38,0.9,0.89,#N/A,0.64,0.71,2.09,1.62,1.95,0.61,3.67,5.95,4.68,3.63,3.35,3.97,5.63,5.33,6.68,10.07,12.97,13.12,25.18,24.45,34.59,40.65,70.13,87.59,134.9,125.06,87.52,91.55,130.32,128.63,124.24
São Tomé and Príncipe,X534T716,India: Exports to Sao Tome & Principe (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.04,0.03,1.08,0.03,0.15,0.13,0.03,#N/A,0.02,0.26,1.41,0.52,0.33,0.75,1.33,1.03,1.26,0.74,1.27,0.86,0.64,1.67,1,0.84,0.96,0.99,1.71,1.21
Seychelles,X534T718,India: Exports to Seychelles (Mil.US$),2.07,3.75,3.32,2.13,1.46,1.04,0.75,0.89,0.87,4.54,1.59,0.98,1.71,3.91,1.23,2.86,5.34,5.45,8.05,6,7.13,5.9,6.07,9.1,10.1,10.62,12.34,57.04,98.87,19.44,29.58,32.84,31.12,57.23,37.52,31.45,37.79,37.76,80.45,51.82,78.37
Senegal,X534T722,India: Exports to Senegal (Mil.US$),0.26,0.57,0.87,1.35,0.57,0.53,2.15,2.9,2.93,2.41,1.82,2.12,5.75,2.09,2.76,32.06,23.33,26.95,32.9,23.63,22.88,22.61,44.27,32.89,57.05,87.43,137.57,186.51,137.65,170.15,209.17,287.96,496.97,467.33,478.7,522.92,592.2,734.65,666.31,484.12,578.19
Sierra Leone,X534T724,India: Exports to Sierra Leone (Mil.US$),1.91,9.77,1.42,0.42,0.62,0.7,0.15,0.22,0.27,#N/A,0.53,1.85,2.93,2.94,3.88,22.06,4.3,2.23,1.8,2.98,3.98,13.03,12.56,12.32,12.51,17.18,20.22,27.78,49.77,34.14,43.91,79.86,154.7,130.13,83.68,95.91,80.72,98.8,106.43,126.68,124.67
Somalia,X534T726,India: Exports to Somalia (Mil.US$),9.44,1.37,1.47,2.56,2.18,4.32,3.91,3.53,3.34,#N/A,1.26,0.55,0.68,1.15,0.28,4.71,24.66,24.63,31.78,15.3,7.4,10.49,18.71,35.07,45.09,41.52,74.46,112.6,102.49,18.08,71.54,201.9,198.62,168.15,335.29,418.9,505.88,467.63,437.27,614.46,543.96
British Somaliland,X534T727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,X534T728,India: Exports to Namibia (Mil.US$),0.32,0.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,#N/A,0.09,#N/A,1.63,1.91,2.45,1.54,1.01,1.5,10.7,5.75,3.25,9.54,6.2,7.01,7.13,12.79,17.53,35.39,96.65,55.43,63.7,66.06,57.02,207.31,115.78,68.06,72.09,66.99,48.05,108.2,46.8
Sudan,X534T732,India: Exports to Sudan (Mil.US$),53.48,36.11,25.36,35.46,15.66,17.18,9.14,14.35,15.9,#N/A,16.44,15.84,17.39,12.92,13.87,28.88,25.59,40.18,52.4,67.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,494.97,449.71,488.23,721.68,734.78,783.84,880.39,823.51,753.91,846.92,792.13,1076.66,1046.64
Swaziland,X534T734,India: Exports to eSwatini (Mil.US$),3.9,6.71,10.23,10.96,9.94,5.42,1.28,1.08,1.37,#N/A,1.59,#N/A,2.69,3.78,3.41,2.28,7.52,1.63,0.75,0.98,1.4,1.27,10.04,25.03,23.9,9.5,4.85,8.94,15,40.17,27.09,87.55,45.72,26.37,26.35,67.14,38.95,33.14,22.03,17.79,26.41
Tanzania,X534T738,India: Exports to Tanzania (Mil.US$),33.54,27.42,21.66,17.71,12.58,11.73,12.54,17.01,20.97,#N/A,27.11,48.13,74.5,63.07,68.97,70.75,70.8,68.58,81.28,82.85,97,87.66,109.29,160.7,170.21,226.06,277.48,512.69,1075.2,886.56,1124.86,1795.81,1596.63,3187.02,3460.12,1672.05,1767.7,1567.32,1873.03,1694.9,1411.72
Togo,X534T742,India: Exports to Togo (Mil.US$),0.9,0.49,0.19,0.08,0.1,0.32,0.73,0.56,0.74,0.59,3.45,7.39,10.08,4.42,8.4,36.26,16.51,27.3,22.35,17.08,33.7,44.68,65.58,53.15,207.31,134.17,114.18,202.47,152.94,141.32,194.35,317.65,292.09,464.68,665.54,455.6,428.67,434.24,421.47,1087.6,1196.37
Tunisia,X534T744,India: Exports to Tunisia (Mil.US$),4.93,7.01,5.19,4.94,2.86,1.88,2.04,2.01,5.09,9.49,5.86,9.16,11.24,5.46,5.97,6.56,14.66,15.68,20.8,26.78,35.83,42.16,55.8,65.86,69.22,80.54,102.66,120.47,207.88,212.07,257.85,258.41,296.9,285.27,268.34,213.8,248.19,266.38,308.56,269.73,241.55
Uganda,X534T746,India: Exports to Uganda (Mil.US$),20.26,15.19,26.22,35.43,4.95,9.07,31.74,18.49,17.45,#N/A,11.9,12.65,19.23,28.07,32.59,35.03,34.99,41.38,44.6,40.53,43.68,54.75,63.3,82.27,76.82,88.48,103.73,142.09,203.89,207.31,248.36,429.15,451.55,517.22,550.77,568.91,523.81,507.19,561.99,633.61,656.9
Burkina Faso,X534T748,India: Exports to Burkina Faso (Mil.US$),0.02,0.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.09,#N/A,0.19,0.81,0.73,0.7,0.48,1.45,1.25,1.28,3.83,4.48,6.13,7.84,14.56,21.84,20.58,20.22,16.23,27.98,53.28,37.49,36.64,77.74,79.71,104.1,113.99,98.97,120.06,140.83,166.54,169.28,189.31
Zambia,X534T754,India: Exports to Zambia (Mil.US$),34.55,21.59,17.14,13.45,10.65,5.75,3.97,3.11,9.67,#N/A,21.01,27.3,31.04,23.48,31.48,33.71,31.12,27.98,19.63,21.8,22.7,24.66,29.64,37.63,46.19,62.49,97.91,126.24,110.89,84.05,97.88,191.64,232.93,344.98,380.55,334.34,235.85,257.63,329.07,268.03,250.77
Spanish Sahara,X534T798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,X534T813,India: Exports to Solomon Islands (Mil.US$),0.04,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,0,0.01,0.12,0.22,0.26,0.46,0.78,0.8,1.18,0.7,0.5,0.25,0.29,4.65,1.72,0.23,0.28,20.98,29,1.05,0.67,1.14,1.27,6.85,2.23,5.02,3.23,1.33,1.53,2.99,1.54
Faeroe Islands,X534T816,India: Exports to Faroe Islands (Mil.US$),0.02,0.02,0.1,0.07,0.07,0.19,0.05,#N/A,#N/A,0.61,#N/A,#N/A,#N/A,0.02,0.02,0.04,0.03,0.25,0.08,0.08,0.02,0.05,0.05,0.39,0.23,0.2,0.3,0.26,0.12,0.11,0.61,0.83,1.35,3.27,2.7,1.27,0.76,0.27,1.99,1.91,0.26
Fiji,X534T819,India: Exports to Fiji (Mil.US$),3.93,4.34,3.77,0.38,3.09,2.97,3.77,2.52,2.04,4.72,0.01,0.05,0.06,0.04,0.12,0.13,0.3,0.48,7.33,14.48,12.5,12.76,22.61,21.67,26.17,28.94,40.58,47.29,103.21,25.95,29.18,34.84,38.85,47.98,51.44,45.76,49.27,53.44,59.68,57.6,44.34
Gibraltar,X534T823,India: Exports to Gibraltar (Mil.US$),0.99,0.36,1.69,0.63,0.18,0.11,0.24,0.86,0.89,#N/A,1.02,0.99,0.98,0.67,0.11,0.13,0.17,0.13,0.1,0.48,0.53,0.35,1.13,0.91,0.67,0.42,13.15,5.32,9.53,293.3,425.09,301.8,71.31,0.5,568.93,962.29,1211.34,162.19,313.27,974.02,263.47
Kiribati,X534T826,India: Exports to Kiribati (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,0.01,#N/A,0,0.02,0.07,0.03,0.05,0.15,0.1,0.03,0.08,0.12,0.37,0.15,0.31,0.16,2.54,0.97,2.06,0.26,0.16,0.22,1.36,0.75,0.88,1.16,0.6,0.48,0.37,0.4,0.54
Guam,X534T829,India: Exports to Guam (Mil.US$),0.03,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,#N/A,0,0.01,0.01,0.06,1.51,0.12,0.17,0.13,0.1,0.1,0.25,0.78,0.41,0.82,0.5,0.36,2.1,1.11,0.5,0.61,1.72,1.44,1.36,0.55,0.24,0.45,0.51,0.75,0.57,0.89,0.91
Nauru,X534T836,India: Exports to Nauru (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.16,#N/A,0.01,0.27,0.04,0.28,0.18,0.4,0.53,0.3,0.05,0.16,0.08,0.09,0.04,0.01,0.02,0.06,0.17,0.05,0.15,0.05,0.16,0.17,0.02,0.01,#N/A,3.85,0.47,0.21,0.07
New Caledonia,X534T839,India: Exports to New Caledonia (Mil.US$),0.02,#N/A,0.13,0.01,0.11,#N/A,0.02,0.01,0.03,#N/A,0.2,0.17,0.22,0.04,0.08,0.08,0.03,0.55,0.33,0.28,0.6,0.68,0.77,1.63,1.09,1.1,2.73,2.49,4.7,2.75,8.28,46.75,32.27,7.47,12.67,5.6,7.22,10.6,7.93,14.47,11.71
Vanuatu,X534T846,India: Exports to Vanuatu (Mil.US$),#N/A,0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,1.49,0.3,0.16,0.06,0.1,0.07,0.18,0.28,0.23,5,6.19,0.13,0.43,1.34,1.79,2.14,2.18,2.79,4.58,2.18,2.73,3.48,2.52,2.23,2.04,2.04,2.18,2.13,2.24,2.06
Papua New Guinea,X534T853,India: Exports to Papua New Guinea (Mil.US$),0.7,0.72,0.22,0.2,0.33,0.39,0.33,0.86,0.7,2.01,0.39,0.42,0.33,0.93,1.13,1.15,1.4,2.05,3.15,4.9,4.73,4.18,6.37,4.79,11.46,10.48,10.36,13.73,22.31,16.07,21.19,32.51,30.74,40.93,52.44,39.58,39.4,36.67,46.53,57.03,55.7
St Helena,X534T856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis-Futuna,X534T857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,X534T859,India: Exports to American Samoa (Mil.US$),0.04,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,#N/A,0.03,0.07,0.05,0.11,0.03,2.07,0.12,0.1,0.18,0.5,0.68,0.73,0.28,0.28,0.97,0.54,0.28,0.22,0.21,0.08,0.22,2.03,0.27,0.17,0.04,0.3,0.02,0.33,0.02,0.13,0.47
Wake Islands,X534T861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,X534T862,India: Exports to Samoa (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.22,0.08,0.1,1.47,1.89,0.53,0.63,0.85,0.98,0.56,0.66,0.47,0.3,0.34,0.25,0.37,0.55,0.79,1.45,2.68,1.43,3.93,3.7,1.6,2.29,2.08,2.74,4.56,2.08
Tonga,X534T866,India: Exports to Tonga (Mil.US$),#N/A,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0.03,0.01,0.06,0.04,0.45,0.03,0.41,0.4,0.25,0.2,0.28,0.3,0.29,0.79,0.75,0.51,0.49,0.38,0.3,0.16,0.76,0.85,1.02,1.7,1.11,1.04,0.87,1.35,0.6,0.56,0.64
Tuvalu,X534T869,India: Exports to Tuvalu (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,0.04,#N/A,#N/A,#N/A,#N/A,0.82,0.22,0.03,0.15,0.15,0.11,4.91,6.91,0.21,0.12,0,0.02,0.03,0.07,0.06,0.06,#N/A,#N/A,#N/A,0
US Poss in Oceania,X534T877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antartica,X534T886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,X534T911,India: Exports to Armenia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.05,0.22,0.88,0.4,0.58,1.22,1.81,2.22,3.27,6.01,7.21,8.28,17.04,22.38,16.64,17.03,33.38,42.3,56.95,95.65,37.5,31.7,32.94,26.98,38.16,45.23
Azerbaijan,X534T912,India: Exports to Azerbaijan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,0.07,0.14,0.25,2.3,3.73,6.48,10.6,11.5,9.15,11.37,22.78,29.3,25.61,25.45,31.53,33.33,28.28,55.96,91.84,115.42,112.21,60.11,31.55,41.49,37.06,54.51,45.89
Belarus,X534T913,India: Exports to Belarus (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.47,1.18,1.11,31.06,9.5,2.1,2.2,3.67,2.41,4.97,6.34,9.15,11.82,13.84,19.48,36.69,35.79,29.89,120.97,56.43,50.84,51.21,34.36,41.85,44.88,55.78,56.08,58.92
Albania,X534T914,India: Exports to Albania (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.03,#N/A,0.03,0.14,0.18,1.09,1,0.7,0.75,0.88,1.57,2.56,3.79,4.78,5.11,5.52,4.75,6.34,11.41,9.13,8.63,13.95,16.8,18.45,19.26,21.92,28.36,24.06,37.22,39.91,48.5
Georgia,X534T915,India: Exports to Georgia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,0.05,0.53,0.28,1.78,0.88,1.18,2.68,5.3,16.21,30.22,27.98,32.33,39.26,79.92,106.62,42.09,66.64,119.12,117.06,98.55,98.39,73.08,95.49,74.87,103.07,90.54,98.67
Kazakhstan,X534T916,India: Exports to Kazakhstan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.02,7.04,7.23,5.6,12.43,32.28,29.9,44.38,50.65,46.58,67.83,78.35,88.5,85.22,104.73,135.22,130.54,146.28,234.21,279.22,271.81,243.11,169.04,125.58,118.39,138.71,193.7,225.72
Kyrgyz Republic,X534T917,India: Exports to Kyrgyzstan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.09,0.29,0.04,0.56,8.35,9.23,12.53,16.65,10.63,13.74,32.32,46.38,33.46,34.96,32.98,22.38,25.24,24.37,26.88,32.09,37.16,36.11,30.08,26.64,30.89,28.42,29.14,36.73
Bulgaria,X534T918,India: Exports to Bulgaria (Mil.US$),13.73,15.37,17.91,27.59,24.7,31.48,31.14,40.63,39.09,#N/A,6.75,1.41,3.66,3.78,7.19,5.72,6,8.45,9.23,7.8,10.45,9.83,10.26,21.69,24.29,24.24,36.17,63.5,78.75,48.94,60.77,108.48,139.86,178.71,230.35,188.25,230.39,153.37,193.5,165.75,149.79
Moldova,X534T921,India: Exports to Moldova (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,1.66,0.15,0.32,0.63,0.93,0.85,0.88,1.84,2.37,3.91,5.25,5.47,5.5,6.93,7.04,6.58,6.83,8.3,7.77,10.22,9.8,8.07,6.37,7.17,8.31,9.6,9.08
Russia,X534T922,India: Exports to Russia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,456.52,556.43,733.3,1031.32,777.89,917.55,770.3,888.28,903.73,815.61,727.55,711.31,626.51,707.67,860.45,930.53,1159.61,914,1390.5,1800.19,2128.9,2213.08,2215.66,1610.85,1814.45,2141.41,2332.13,2868.29,2559.26
Tajikistan,X534T923,India: Exports to Tajikistan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.66,0.54,4.85,0.08,1,0.65,1.93,3.3,1.71,6.79,5.51,5.81,6.33,7.15,11.17,16.56,15.8,16.44,20.72,28.87,45.02,59.98,31.64,19.71,24.39,20.51,24.56,44.83
China,X534T924,India: Exports to P.R. China (Mil.US$),28.55,50.08,27.01,9.11,10.85,21.45,8.13,8.29,23.13,143.11,18.02,48.27,94.13,286.13,214.55,282.92,542.48,692.2,499.9,511.05,758.22,915.57,1719.6,2710.18,4178.48,6473.3,7910.25,10195.07,10536.51,10154.95,17518.98,19113.15,14904,14516.98,13251.99,9689.94,8946.78,12520.12,16397.29,17271.26,19008.27
Turkmenistan,X534T925,India: Exports to Turkmenistan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.51,0.2,1.2,1.19,1.63,1.85,4.68,3.43,4.12,8.81,16.98,15.76,17.94,30.08,35.5,39.66,35.75,28.88,39.4,70.26,52.46,100.54,80.72,57.28,59.64,41.7,37.34,44.3
Ukraine,X534T926,India: Exports to Ukraine (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.73,59.81,65.8,45.09,56.78,40.98,40.4,63.7,76.36,90.53,106.12,179.07,245.57,281.78,371.36,438.46,255.9,784.99,502.01,516.67,479.63,406.18,251.64,291.19,330.57,400.46,457.34,438.25
Uzbekistan,X534T927,India: Exports to Uzbekistan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.31,4.31,5.73,8.34,15.23,14,10.63,9.53,7.13,5.44,12.63,18.53,23.67,28.37,37.64,44.08,50.75,56.73,86.29,109.55,112.81,168.96,110.67,90.73,130.67,193.37,193.51,260.76
Cuba,X534T928,India: Exports to Cuba (Mil.US$),6.46,0.51,0.12,0.79,2.17,4.89,2.68,2.68,8.88,#N/A,10.72,1.08,1.73,0.32,0.34,0.23,0.31,0.68,2.63,3,4.33,5.23,5.08,4.91,6.42,10.8,23.12,21.06,36.95,22.2,23.84,38.28,35.16,36.38,36.31,52.73,39.24,45.69,38.15,51.21,20.14
Czech Republic,X534T935,India: Exports to Czech Republic (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.05,19.98,25.95,29.76,#N/A,#N/A,#N/A,#N/A,40.1,#N/A,64.08,#N/A,94.65,101.02,160.81,186.12,167.12,198.64,259.44,258.35,358.56,398.04,470.66,534.85,393.52,414.06,467.4,495.89
Slovakia,X534T936,India: Exports to Slovakia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.86,3.06,3.71,2.72,#N/A,#N/A,#N/A,#N/A,9.39,10.41,15.39,21.14,22.02,32.38,44.79,37.65,34.39,47.29,88.87,102.86,105.62,129.87,138.34,141.61,149.71,147.63,139.75,148.95
Estonia,X534T939,India: Exports to Estonia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.84,2.72,2.06,2.85,2.95,4.7,6.2,4.1,3.38,4.21,5.57,8.53,12.96,24.53,59.35,48.56,32.45,45.35,98.4,103.28,79.89,68.6,70.1,85.74,87.27,64.18,71.78,51.09
Latvia,X534T941,India: Exports to Latvia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.43,4.11,6.92,3.8,6.05,8.8,12.13,13.53,8.94,8.17,14.46,15.86,25.65,36.95,54.51,48.86,37.19,101.68,93.23,100.81,101.13,104.16,83.83,96.58,119.57,117.95,123.64,98.64
Hungary,X534T944,India: Exports to Hungary (Mil.US$),17.79,16.93,16.25,17.47,18.28,17.21,30.94,31.25,37.85,#N/A,41.31,41.72,25.68,23.37,18.38,19.69,30.36,34.45,35.53,32.65,39.95,41.81,47.87,80.97,100.77,90.14,98.69,198.13,443.89,281.77,197.48,305.53,327.45,337.24,352.63,345.44,389.05,400.28,440.37,443.21,456.95
Lithuania,X534T946,India: Exports to Lithuania (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,1.27,0.88,2.07,2.7,3.3,8.18,8.95,7.19,9.17,15.97,26.61,32.73,38.8,54.44,64.59,53.91,84.62,95.87,154.18,124.62,115.56,84.1,96.24,103.3,120.68,118.12,134.07
Mongolia,X534T948,India: Exports to Mongolia (Mil.US$),0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.07,0.86,2.28,0.98,0.73,0.73,2.29,0.93,1.53,2.15,1.62,0.96,0.67,0.78,1.36,1.21,2.06,6.27,21.31,3.67,19.63,18.79,42.06,15.74,7.93,8.26,9.78,13.84,28.49,15.27,15.07
North Korea,X534T954,India: Exports to North Korea (Mil.US$),36.11,4.04,12.18,11.94,6.93,3.31,9.92,23.18,25.91,#N/A,15.23,48.58,17.43,18.74,37.42,46.87,24.06,35.65,23.65,55.15,144.75,170.81,177.37,164.84,131.18,71.88,92.76,664.26,1048.05,315.36,429.59,169.86,259.7,211.61,75.28,109.55,54.19,59.43,31.03,10.39,4.34
Croatia,X534T960,India: Exports to Croatia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.72,4.82,7,4.6,#N/A,#N/A,#N/A,#N/A,4.3,8.85,15.02,20.66,27.47,48.27,67.99,87.51,85.42,88.93,122.08,114.32,136.25,191,116.59,117.94,167.19,150.24,144.98,137.44
Slovenia,X534T961,India: Exports to Slovenia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.78,4.02,3.3,5.91,#N/A,#N/A,#N/A,#N/A,29.35,25.25,33.15,55.7,73.29,85.77,111.77,160.78,194.8,148.06,233.41,272.74,222.54,230.84,237.88,290.98,263.87,305.08,334.11,323.29
Macedonia,X534T962,India: Exports to North Macedonia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,0.66,#N/A,#N/A,#N/A,#N/A,1.19,1.23,1.56,2.29,3.6,5.26,7.66,10.02,6.4,8.26,8.36,9.03,10.72,13.38,13.85,14.41,15.59,19.86,21.96,20.45
Bosnia and Hercegovina,X534T963,India: Exports to Bosnia & Herzegovina (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,0.11,#N/A,#N/A,#N/A,#N/A,1.06,2.08,3.07,2.88,1.68,3.06,4.68,5.18,3.64,2.41,4.98,6.29,9.75,18.1,17.85,16.66,13.27,17.22,15.87,14.06
