Exports to,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,X534T193,India: Exports to Australia (Mil.US$),124.23,95.71,110.54,89.63,118.22,102.59,110.68,130.27,159.83,193.31,183.32,202.9,232.15,245.59,313.4,351.09,381.26,425.08,400.13,399.33,405.25,391.05,482.64,564.26,661.35,796.03,898.91,1093.74,1451.5,1315.32,1652.84,2087.96,2665.38,2209.57,2666.28,3172.86,2920.24,3887.65,3738.8,2955.5,3471.13
New Zealand,X534T196,India: Exports to New Zealand (Mil.US$),24.95,19.5,21.51,15.61,18.82,14.06,15,20.17,23.19,41.35,21.1,24.21,33.3,30.34,48.87,57.59,62.78,70.43,60.6,62.43,63.55,60.82,66.33,81.41,87.95,129.73,413,244.73,209.94,243.96,189.03,240.74,303.52,267.08,322.17,314.64,308.55,329.39,378.77,383.77,439.1
South Africa,X534T199,India: Exports to South Africa (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.94,0.1,4.58,124.98,268.78,346.4,374.4,389.23,310.98,304.37,320.78,451.22,525.5,853.79,1391.16,2066.59,2554.65,2526.45,1864.62,3643.45,4351.7,4962.54,5265.31,5614.39,3854.92,3245.84,4073.95,4014.7,3983.69,3498.29
Argentina,X534T213,India: Exports to Argentina (Mil.US$),6.03,2.52,1.31,1.59,0.97,0.46,1.93,2.22,2.28,3.34,3.75,16.62,28.13,30,50.42,32.69,50.32,84.2,78.68,65.45,89.53,82.67,61.37,80.57,155.9,196.21,208.66,270.08,381.36,247.38,376.17,454.11,500.68,612.23,498.3,515.26,510.14,661.26,631.53,631.24,739.11
Bolivia,X534T218,India: Exports to Bolivia (Mil.US$),0.32,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,1.12,0.08,0.9,1.5,0.75,0.86,0.98,0.49,0.7,0.93,0.85,1.7,1.3,1.89,3.31,3.69,5.91,5.73,7.07,9.78,8.12,13.56,21.68,49.56,55.12,68.51,75.56,71.42,98.75,99.63,121.03,84.95
Brazil,X534T223,India: Exports to Brazil (Mil.US$),2.19,1.08,1.47,0.58,1.37,1.84,3.07,3.4,17.96,19.24,8.64,17.32,17.45,55.46,58.4,98.13,117.82,140.68,135.83,134.58,203.25,227.4,414.03,326.47,560.98,987.5,1362.74,2250.77,3194.05,1760.01,3670.38,5362.77,6129.09,5412.52,6973,3086.58,2300.63,2874.31,3562.77,4111.97,3675.78
Chile,X534T228,India: Exports to Chile (Mil.US$),1.72,1.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.88,4.92,1.57,7.87,10.21,11.75,21.8,48.91,63.27,106.98,81.23,68.48,98.53,85.28,74.91,80.3,99.47,141.91,319.52,280.94,418.1,254.32,481.98,524.9,646.59,652.19,617.29,666.38,652.52,744.7,925.4,877.09,738.08
Colombia,X534T233,India: Exports to Colombia (Mil.US$),0.07,0.2,0.22,0.69,0.77,0.6,0.65,0.54,0.63,0.65,1.29,4.51,6.73,12.76,15.37,15.33,18.04,29.68,27.73,31.63,45.25,48.97,59.75,86.87,267.5,423.94,546.23,712.16,411.06,360.84,508.81,808.9,927.38,939.58,1128.52,972.13,767.38,911.97,1076.28,1037.35,830.31
Costa Rica,X534T238,India: Exports to Costa Rica (Mil.US$),0.15,#N/A,0.01,0.01,0.08,0.03,0.08,0.28,0.35,0.47,0.37,0.32,0.82,1.32,1.48,0.67,0.51,1.5,1.8,2.4,5.75,6.8,9.87,18.03,17.09,16.16,19.4,28.87,39.08,28.96,51.94,62.9,77.68,76.26,93.74,124.59,147.87,133.69,145.99,131.32,112.23
Dominican Republic,X534T243,India: Exports to Dominican Republic (Mil.US$),0.13,0.06,0.05,0.03,0.04,0.2,0.28,0.19,0.23,#N/A,0.17,0.27,0.65,0.62,1.83,3.48,3.25,2.65,2.48,9.13,11.38,11.5,15.35,13.21,18.3,29.35,35.72,41.13,55.28,48.07,79.14,99.33,108.7,115.62,139.26,162.33,221.04,195.78,212.54,223.1,188.93
Ecuador,X534T248,India: Exports to Ecuador (Mil.US$),0.11,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.9,0.08,0.44,0.57,0.27,1.59,1.6,2.02,3.9,4.55,2.88,7.63,10.58,11.72,13.59,19.83,25.33,45.75,54.6,94.02,109.65,112.59,228.81,171.78,302.59,297.9,173.61,166.59,264.94,305.98,259.16,194.98
El Salvador,X534T253,India: Exports to El Salvador (Mil.US$),0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,0.02,#N/A,0.25,0.36,0.31,1.17,1.62,0.95,1.4,1.88,2.75,2.55,2.67,3.58,5.84,7.93,11.22,16.25,13.51,16.72,12.6,20.11,34.1,51.36,66.3,60.46,69.05,59.33,66.08,77.85,78.6,75.5
Guatemala,X534T258,India: Exports to Guatemala (Mil.US$),0.01,#N/A,#N/A,0.01,0.03,0.23,0.33,0.37,0.71,0.53,0.57,0.67,1.04,1.85,1.97,2.79,1.91,4.28,4.63,11.95,17.62,17.79,16.87,24.3,32.8,43.91,67.01,74.47,92.47,76.79,109.18,168,221.62,215.17,221.6,255.02,239.51,282.08,305.39,290.51,299.42
Haiti,X534T263,India: Exports to Haiti (Mil.US$),0.05,0.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,#N/A,0.15,0.18,0.07,0.18,0.05,1.07,1.16,1.85,2.53,3,5.13,6.31,9.89,9.14,13.64,14.79,20.36,25.45,44.47,34.17,58.59,46.55,61.19,58.16,73.32,75.65,65.8,92.45,81.88,67.38,89.48
Honduras,X534T268,India: Exports to Honduras (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.54,0.37,0.28,1.38,1.36,1.68,2.16,2.87,1.33,3.1,3.75,10.48,14.65,10.91,19.14,14.41,18.26,31.28,93.52,99.68,85.07,45.5,58.07,81.39,110.35,105.57,161.83,171.24,141.8,142.15,157.58,186.38,139.09
Mexico,X534T273,India: Exports to Mexico (Mil.US$),6.28,6.35,5.64,2.1,2.23,3.73,3.06,3.46,5.59,12.14,21.11,27.98,44.99,49.76,75.75,50.19,70.05,102.75,125.38,138.23,191.6,227.39,255.53,263.71,330.35,424.44,512.6,577.69,699.67,516.39,767.35,1338.69,1592.55,1865.59,2919.88,2769.18,3375.28,3700.14,3840.61,3735.81,3045.68
Nicaragua,X534T278,India: Exports to Nicaragua (Mil.US$),0.02,0.03,0.08,#N/A,0.07,0.11,4.12,1.44,1.99,#N/A,5.08,0.08,0.66,0.73,0.1,0.86,0.55,0.58,0.98,2.15,3.7,5.07,5.36,5.78,9.8,10.82,13.86,43.82,52.66,18.84,27.42,42.49,53.12,61.11,65.2,77.11,90.8,78.52,65.73,64.8,73.4
Panama,X534T283,India: Exports to Panama (Mil.US$),0.8,9.29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.44,7.92,19.64,22.69,14.89,31.07,31.38,25.04,41.15,34.3,40.78,77.58,65.07,59.19,57.89,54.18,64.79,140.8,93.11,116.43,86.39,101.76,200.47,251.81,199.09,271.73,241.19,213.84,233.86,212.16,243.94,154.85
Paraguay,X534T288,India: Exports to Paraguay (Mil.US$),0.32,0.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.55,1.14,2.65,2.55,3.4,9.38,9.11,4.89,6.5,6.08,6.65,7.95,7.18,6.92,9.63,11.26,15.29,24.56,41.71,41.84,31.65,38.61,64.23,71.19,86.95,98.87,112.82,118.95,150.32,164.99,136.24,149.24
